date,aaba,aal,aapl,adbe,akam,alxn,amat,amzn,atvi,avgo,bidu,cmcsa,csco,ctxs,ea,fb,fox,goog,intc,khc,mar,msft,nflx,pypl,trip,tsla,wba,nasdaq
2018-04-30,70.080002,42.93,165.259995,221.600006,71.650002,117.629997,49.669998,1566.130005,66.349998,229.419998,250.899994,31.389999,44.290001,102.910004,117.980003,172,36.07,1017.330017,51.619999,56.380001,136.679993,93.519997,312.459991,74.610001,37.419998,293.899994,66.449997,7066.27002
2018-05-01,69.889999,43.360001,169.100006,224.080002,70.839996,118.620003,50.91,1582.26001,67.800003,230.380005,252.130005,32.060001,44.830002,104.709999,119.830002,173.860001,36.119999,1037.310059,53.330002,55.700001,137.600006,95,313.299988,74.809998,37.529999,299.920013,65.419998,7130.700195
2018-05-02,70.209999,42.240002,176.570007,221.100006,71.650002,114.239998,50.529999,1569.680054,68.389999,228.740005,249.800003,31.299999,43.860001,104.410004,118.940002,176.070007,36.130001,1024.380005,52.310001,54.200001,134.160004,93.510002,313.359985,71.730003,38.299999,301.149994,63.650002,7100.899902
2018-05-03,70.379997,42.110001,176.889999,226.050003,71.449997,113.860001,50.709999,1572.079956,66.82,225.25,252.460007,31.01,44.439999,104.809998,120.169998,174.020004,36.330002,1023.719971,52.279999,54.950001,134.639999,94.07,311.690002,73.449997,38,284.450012,62.23,7088.149902
2018-05-04,72.709999,42.860001,183.830002,228.509995,72.010002,116.809998,52.560001,1580.949951,69.839996,230.520004,251.729996,31.959999,45.299999,105.230003,123.639999,176.610001,37.16,1048.209961,52.779999,58.009998,135.850006,95.160004,320.089996,73.989998,38.529999,294.089996,63.810001,7209.620117
2018-05-07,75.330002,42.439999,185.160004,230.990005,73.120003,118.410004,52.59,1600.140015,70.370003,235.970001,253.899994,32.389999,45.73,106.580002,123.919998,177.970001,37.48,1054.790039,53.330002,58.830002,136.639999,96.220001,326.26001,74.669998,39.43,302.769989,62.299999,7265.209961
2018-05-08,76.040001,43,186.050003,234.559998,73.68,114.949997,53.450001,1592.390015,69.610001,238.850006,263.089996,30.59,45.709999,107.290001,123.889999,178.919998,37.450001,1053.910034,53.630001,58.759998,139.309998,95.809998,326.890015,75.720001,38.779999,301.970001,62.360001,7266.899902
2018-05-09,75.93,41.5,187.360001,239.740005,77.300003,116.769997,54.130001,1608,71.309998,238.050003,261.290009,30.73,46.040001,107.779999,131.009995,182.660004,37.240002,1082.76001,54.34,58.48,137.899994,96.940002,330.299988,77.010002,47.619999,306.850006,62.939999,7339.910156
2018-05-10,75.900002,42.040001,190.039993,241.149994,76.360001,116.129997,55.529999,1609.079956,72.900002,243.509995,268.679993,31.559999,46.299999,108.190002,133.759995,185.529999,37.459999,1097.569946,54.98,59.040001,138.570007,97.910004,329.600006,79.190002,48.509998,305.019989,63.810001,7404.970215
2018-05-11,75.669998,42.599998,188.589996,241.880005,76.300003,119.660004,54.84,1602.910034,71.699997,243.380005,269.910004,31.9,45.93,107.470001,132.809998,186.990005,37.48,1098.26001,54.669998,59.240002,139.820007,97.699997,326.459991,79.199997,48.990002,301.059998,64.089996,7402.879883
